1571884811,0,1,3,"CA,C9,C2,CQ;S2,S4,S3,S7;C3,C4,C6,C7;C5,C8,CK,CJ;SJ,SQ,S5,HJ;DK,D2,D8,D7;C10,SK,SA,H8;D4,D3,H9,DQ;D6,D5,H7,D9;HK,DA,S10,D10;H4,H5,S9,H2;H6,H10,S8,H3;HQ,HA,S6,DJ"
1571884811,0,0,3,"C9,CJ,C2,CA;S7,S2,S5,S3;S8,S4,SK,SQ;DK,D2,D4,D8;C8,C5,C3,C4;D5,D3,D7,DA;HA,HQ,C6,C7;D6,H10,DQ,D9;S9,S6,SA,HK;HJ,H9,C10,H6;H8,H5,CQ,H2;H7,SJ,CK,DJ;H3,S10,H4,D10"
1571884811,0,2,3,"C2,CA,CQ,C5;S10,S2,S3,S8;C3,C4,C8,SA;HA,S5,S4,S9;HK,H8,S6,SJ;D2,D5,DK,D3;H9,H4,S7,HQ;H5,H2,SQ,H10;D4,DA,D7,D6;CJ,C6,SK,H6;DQ,CK,DJ,D8;C9,C7,HJ,D10;H3,C10,H7,D9"
1571884811,0,3,3,"C2,C7,CA,C10;S3,S2,S6,S8;S5,S4,SQ,S10;C4,C3,C5,C9;CK,SA,CJ,C6;CQ,HA,SK,C8;D4,DK,D3,D2;DA,D6,D7,D5;SJ,S7,H7,H10;H5,HJ,H3,H2;HK,D10,D8,D9;HQ,DQ,DJ,H9;H6,S9,H4,H8"
1571884811,0,0,3,"CA,CK,C5,C2;S4,S5,S3,S2;SJ,SK,S6,S8;CQ,C6,C4,C3;C7,C9,SA,CJ;HA,H9,S7,S10;HQ,H6,S9,SQ;H7,C10,HK,C8;DA,D5,D2,D7;D6,D8,D3,DJ;DQ,DK,D4,D9;H4,H2,H8,HJ;H3,H5,D10,H10"
1571884811,0,25,3,"C2,CJ,CQ,CK;C4,C3,C6,C7;C5,C8,SK,C10;D7,D6,DA,D2;S4,S3,S2,H9;S7,S9,S5,H5;SA,S10,S6,H4;C9,SQ,HK,H2;DK,HA,D3,D4;CA,HQ,HJ,D10;H7,H3,DQ,D9;H8,H6,DJ,D8;H10,SJ,S8,D5"
1571884811,0,0,3,"C10,CJ,CK,C2;S5,S4,S2,S3;S6,S8,S9,S10;S7,HJ,SA,SK;C5,C3,C6,C4;C7,H6,C9,CA;SQ,DA,D2,D4;H10,D5,D3,DK;H7,D6,DJ,D10;C8,H2,CQ,HK;H3,D9,H4,H9;H5,D7,HA,DQ;SJ,D8,HQ,H8"
1571884811,0,10,3,"CA,C2,C7,CK;S5,S4,S3,S2;S6,SQ,S8,S7;C4,C9,C3,C8;DJ,D2,D4,D8;C5,HA,C6,CQ;CJ,H10,HQ,C10;D3,D6,D10,DA;D5,DK,HJ,D9;D7,DQ,H7,SA;H6,H4,H3,H2;SJ,H9,S9,HK;SK,H8,S10,H5"
1571884811,0,2,3,"CA,C2,CK,CQ;S4,S3,S5,S2;S6,S7,S8,S10;S9,SK,HA,SJ;C8,C3,C4,C6;SQ,HQ,H8,SA;HK,C7,C5,C10;H7,C9,H6,CJ;D7,D3,DK,D2;D9,DA,D5,D4;H2,H3,H4,HJ;D10,H10,DQ,D6;DJ,H9,D8,H5"
1571884811,0,1,3,"CK,CQ,CA,C2;S3,S2,S6,S7;SJ,S4,S9,S8;SK,S5,H9,S10;D4,D3,D8,D2;HA,CJ,C3,C5;H7,SQ,H6,SA;D5,DA,H4,D6;D7,D9,C10,HK;D10,DQ,C9,HJ;H2,H3,C8,H8;DK,HQ,C4,C7;DJ,H10,C6,H5"
1571884811,0,14,3,"CJ,CK,C2,CQ;SJ,SK,S2,S3;C5,C3,CA,C4;SQ,HA,S5,S4;D2,D3,D5,D10;HK,H8,S6,S7;H9,H7,SA,S8;D7,D4,D9,HJ;D8,D6,DK,H10;H4,C7,C8,C6;H3,H6,C10,C9;H2,DA,H5,S10;DQ,DJ,HQ,S9"
1571884811,0,16,3,"CA,CQ,C2,CK;S2,S6,S3,SK;S4,S7,S5,SA;C4,C5,C10,C3;S8,S9,S10,H8;SQ,H3,SJ,H6;C8,C7,HA,C6;D2,D3,D9,DJ;HK,CJ,HJ,C9;DA,D4,D10,D5;H5,H2,H10,H4;HQ,D7,DQ,D6;H7,DK,H9,D8"
1571884811,0,10,3,"CJ,CQ,CK,C2;S3,S2,S4,S6;S8,S5,SJ,S7;S10,S9,SQ,SK;C5,C7,C10,C3;C9,C8,C4,C6;D7,D4,D2,D5;DK,D8,D3,D9;H7,H6,H2,H4;H10,H9,H3,H5;HJ,SA,H8,DJ;HQ,DA,HA,D10;HK,DQ,D6,CA"
1571884811,0,1,3,"CK,CQ,CA,C2;SK,SJ,S2,S3;SA,HJ,S5,S4;C3,C4,HK,CJ;HA,H8,S6,S7;H10,H6,S8,S9;H9,H5,S10,SQ;C5,C7,H7,C8;H4,D2,DA,D3;H3,D4,D7,DQ;C10,D5,D8,D10;C9,DK,DJ,H2;C6,D6,D9,HQ"
