1571885538,0,1,1,"C10,C2,CQ,CK;S7,S3,S2,S5;SK,S4,S6,S8;C3,C4,SQ,CJ;D2,D4,D3,D7;DJ,D5,DA,D9;DQ,D6,D10,SA;C7,C6,HJ,C5;C9,CA,H2,C8;H8,D8,DK,HA;H6,HQ,S9,HK;H5,H9,S10,H10;H3,H4,SJ,H7"
1571885538,0,2,1,"CA,C10,CK,C2;S3,S5,S4,S2;S6,S8,SK,S7;C3,C6,C8,CJ;S10,H10,HQ,S9;C4,H9,CQ,SQ;D4,D2,D7,D3;D8,D5,D9,DJ;H8,H6,H5,SJ;H7,H4,H3,SA;C9,H2,DA,HJ;C7,DQ,DK,HK;C5,D6,D10,HA"
1571885538,0,16,1,"C2,CQ,C9,CK;S4,S2,S5,S3;S10,HK,S8,S6;C7,C3,SA,C4;CJ,C6,HJ,C5;CA,C8,H7,SQ;DJ,D4,D2,D6;DQ,D5,D3,DA;HQ,H10,S9,S7;DK,D10,D7,SK;H4,H8,H2,H3;H9,D9,D8,HA;H5,C10,SJ,H6"
1571885538,0,24,1,"CA,C10,C2,C5;S9,S2,H9,S4;SQ,S3,H7,S5;DA,D3,D5,D2;C7,C3,C4,SK;C8,SA,C6,HK;C9,HJ,CK,H8;CQ,H6,CJ,H3;H4,DK,H2,D8;H5,D10,DQ,D7;H10,SJ,DJ,D4;HQ,S10,D9,S8;HA,S6,D6,S7"
1571885538,0,1,1,"CK,CQ,C2,CJ;S4,S3,S7,S2;S6,S10,S8,S5;SK,SJ,HA,S9;C7,C6,C5,C3;D2,D3,D6,DK;HQ,SA,H8,SQ;HJ,C10,C8,C4;D4,D8,DQ,D5;H10,H6,CA,C9;H9,DA,H2,HK;H7,DJ,H4,D7;H5,D10,H3,D9"
1571885538,0,18,1,"CQ,C2,CK,CJ;S4,S5,S3,S2;C8,C4,C3,C10;S6,HQ,S7,SA;D6,DA,D7,D2;C7,C5,C6,HK;S10,H9,S8,H8;SQ,H7,S9,H5;D9,DQ,D4,D3;D10,DJ,HA,D5;SK,CA,C9,H4;H10,H3,HJ,H2;DK,H6,SJ,D8"
1571885538,0,19,1,"C2,C8,CA,CK;S7,S2,S4,S6;SJ,S3,S10,SA;C3,H5,C7,C4;C5,H2,C6,CQ;CJ,DA,HK,C9;SQ,S5,HJ,HQ;D3,D2,D4,DQ;SK,DK,H10,C10;HA,D10,H4,H3;D7,D9,D5,H8;H9,S8,DJ,H7;D8,S9,D6,H6"
1571885538,0,0,1,"CK,C10,C2,CA;S2,S5,S4,S3;HJ,S7,SJ,S6;C3,C8,C9,C5;D2,D3,D4,DQ;H7,S10,HQ,S8;H6,SK,H10,S9;DK,SA,H8,SQ;D5,D10,D7,D9;D6,DJ,D8,HK;CJ,H2,H3,H5;C4,HA,H4,C7;C6,H9,DA,CQ"
1571885538,0,2,1,"CK,C2,CA,CQ;S3,S2,S4,S8;S6,S9,S5,SJ;C6,C3,C5,C8;SQ,C4,C9,C10;SA,C7,HA,CJ;D3,D5,D2,D6;D4,D10,DA,D7;SK,DK,D8,HJ;HK,DJ,D9,H10;H8,DQ,H9,H5;H4,H6,H7,H2;S10,HQ,S7,H3"
1571885538,0,15,1,"CA,C7,C2,CJ;S10,S2,S5,S3;SQ,S4,S6,SJ;C10,C4,C5,C3;CQ,C6,C9,C8;CK,H9,HQ,SA;D2,D8,DJ,SK;D5,DA,D3,HK;D6,D10,D4,HJ;D9,DQ,D7,H10;HA,DK,H7,H8;H6,S9,S7,H3;H4,H5,S8,H2"
1571885538,0,0,1,"C2,CK,CA,C10;S4,S2,S5,S6;S7,S3,S8,SQ;DK,D3,D2,D6;DQ,D4,D7,D10;S10,SJ,S9,SK;HA,D5,D8,DJ;C3,C7,CQ,C4;H9,DA,D9,HK;H5,SA,HQ,H6;H3,H4,H10,H2;C5,HJ,C8,C6;CJ,H8,H7,C9"
1571885538,0,0,1,"C2,CA,C7,CJ;S6,S5,S2,S3;S10,S7,S8,S4;SJ,S9,SK,HQ;D5,D6,D3,D2;SQ,SA,HJ,H9;C4,C6,H10,C3;C5,C9,H7,H6;C8,C10,H5,H3;HA,CQ,H2,DA;HK,CK,DK,DQ;D9,H4,D10,DJ;D8,H8,D4,D7"
