1571885966,0,8,2,"CK,CJ,CA,C2;S3,S4,S2,S10;C5,SQ,C10,C3;CQ,SK,C4,C6;C8,HJ,SA,C7;D3,D5,DQ,D2;D4,D9,D10,D6;S5,S6,S9,HK;DA,H8,H2,H3;D8,DK,HA,D7;S8,S7,HQ,H10;DJ,H7,H9,H6;SJ,H5,H4,C9"
1571885966,0,0,2,"C8,C6,CQ,C2;S3,S2,S6,S5;SK,HA,C3,CA;HJ,H9,C10,C4;H4,H8,C5,CK;DA,H2,C7,C9;D10,DQ,SQ,CJ;D4,D6,D2,D7;S7,S4,HK,SA;D9,DJ,HQ,H3;D5,D8,D3,H7;S8,S9,H10,H6;S10,SJ,DK,H5"
1571885966,0,13,2,"C2,CA,C9,CQ;S7,S3,S4,S2;C4,C7,C3,SK;SQ,S8,S6,S5;D5,D3,D4,D2;D7,D6,D9,DA;DK,D10,DQ,D8;C5,C6,SA,HA;H3,S10,HJ,S9;CK,SJ,H10,HQ;CJ,H2,H4,H6;C10,HK,H9,DJ;C8,H7,H8,H5"
1571885966,0,8,2,"C2,CQ,CJ,C7;HQ,S2,S5,S4;H9,S3,S10,S7;C3,SQ,C6,C4;CA,HA,C8,C5;D10,D3,D4,D2;DQ,D9,D6,D5;DA,DK,D7,D8;C9,H10,SA,HK;C10,H3,SK,H6;CK,H2,HJ,H5;H4,S8,H8,SJ;H7,S6,DJ,S9"
1571885966,0,1,2,"C2,CA,CQ,CJ;S2,S7,S4,S3;S5,S8,SJ,S6;CK,C7,C4,C3;S9,S10,SA,SQ;C8,HK,C6,C5;D3,D2,D4,DJ;HA,HQ,C10,C9;DA,D9,D6,D5;DK,D8,D10,D7;H3,H6,H2,HJ;H9,H10,H4,SK;H5,H7,DQ,H8"
1571885966,0,0,2,"CJ,C8,CK,C2;SA,S5,S6,S2;C4,C7,C10,C3;HQ,S7,S10,S3;H7,S8,SJ,S4;C9,H9,C5,CA;H3,H8,SQ,S9;D2,DJ,D4,D6;D3,D5,D10,DA;DQ,H6,HA,SK;C6,H4,H10,CQ;D9,H2,H5,HJ;D7,D8,DK,HK"
1571885966,0,4,2,"C2,CA,C3,CK;C4,C5,HK,CQ;S7,SQ,S2,S4;CJ,C6,H8,C9;C8,C7,H5,H10;C10,SA,DA,H9;D3,DK,D9,D2;D5,D10,D4,DQ;S10,SK,S3,S6;D8,DJ,D6,H7;H2,H3,D7,H4;HA,HQ,S5,S8;H6,HJ,S9,SJ"
1571885966,0,6,2,"C2,C5,CK,CJ;S6,S3,S2,S4;C3,C4,CQ,HK;SA,S8,S5,S7;C7,HJ,C6,H8;C10,H9,C8,H6;CA,H4,C9,H5;D3,D2,D5,DJ;HA,S9,SQ,S10;D7,DK,D6,D4;DA,D8,D10,D9;H7,H3,HQ,H2;H10,DQ,SK,SJ"
1571885966,0,3,2,"CQ,C2,CK,C5;S5,S3,S2,HA;S10,S8,S4,HK;C6,CA,C3,HQ;H9,SJ,S6,HJ;C9,C7,C4,H7;C8,CJ,C10,H6;D2,DQ,D6,D4;D3,DK,D9,D5;H3,H5,H10,H2;H8,SQ,S7,H4;DA,SK,S9,D8;DJ,SA,D10,D7"
1571885966,0,18,2,"C10,C8,C2,CA;S4,S2,S5,S6;SJ,S3,S9,S7;C9,SQ,C4,C3;D5,D2,D4,D3;D7,D6,D10,DK;DJ,DA,H9,D8;DQ,D9,H7,SA;H4,H2,H5,HA;HQ,S10,CK,S8;HJ,SK,CQ,HK;H10,H3,C7,CJ;H8,H6,C6,C5"
1571885966,0,0,2,"C5,C2,CK,CQ;S2,S7,S3,S9;S4,H8,S5,S10;HQ,C7,C8,C3;S6,D10,SJ,SQ;D2,D3,DK,D6;HJ,D4,DJ,DA;S8,D9,SK,SA;H10,CA,C4,C9;H9,C10,C6,CJ;H2,D8,HA,H3;H6,D5,DQ,HK;H5,D7,H4,H7"
