1571910964,0,2,1,"CJ,C2,CQ,CA;S8,S4,S2,S6;SJ,S7,S3,SQ;C5,C9,C3,C4;DJ,D2,D3,H10;D6,D5,D4,H7;D7,DK,DA,H4;D8,SK,DQ,H3;HQ,HK,S5,CK;H8,HJ,S9,C10;H6,H9,S10,C8;D10,H5,SA,C7;D9,H2,HA,C6"
1571910964,0,0,1,"CA,C10,C2,CQ;S2,S10,S8,S3;SA,C4,C3,CJ;S4,SK,H8,S5;HJ,C6,C5,SQ;H10,C7,CK,HK;DQ,C9,C8,HQ;D2,D3,D4,DK;D8,D5,D7,D10;S6,HA,H7,S7;D9,DA,H6,H2;SJ,DJ,H3,H9;S9,D6,H5,H4"
1571910964,0,2,1,"CK,C2,CJ,CA;S2,S5,S8,S3;SK,HA,S9,S4;C5,C3,H9,C10;HK,HQ,S10,S6;H7,HJ,SJ,S7;D2,DK,D4,D5;C8,C4,H8,C6;D3,DQ,D7,D10;H6,C7,H3,SQ;H5,C9,DA,SA;DJ,CQ,D9,H10;D6,H4,D8,H2"
1571910964,0,15,1,"C2,C6,CQ,CA;S5,S3,S6,S2;SQ,S4,S9,S8;D3,SA,D2,DA;CJ,C3,C4,C5;D6,SK,DK,D4;C7,H8,C8,CK;HK,H7,DQ,D5;C10,H5,C9,H9;H4,H3,HA,H2;HQ,SJ,D9,D7;H10,S10,D10,D8;H6,S7,HJ,DJ"
1571910964,0,22,1,"C10,C2,CK,CQ;SQ,S3,S6,S2;D3,D4,DQ,D2;D7,DA,D5,D10;C4,C9,SA,C3;C5,CA,SK,CJ;HA,D6,D9,DJ;HK,S4,S8,S5;H6,H9,S9,S7;H5,H2,H4,H3;C6,H8,HQ,H10;C7,DK,HJ,SJ;C8,D8,H7,S10"
1571910964,0,4,1,"C7,CJ,CA,C2;S7,S3,S2,S8;C3,C4,C5,C6;SQ,C9,H10,C8;DA,D3,D2,D8;D10,D5,D4,DJ;SK,SA,H9,C10;HA,H4,H3,CQ;HJ,D9,H2,CK;H5,D7,DK,H6;H8,S9,D6,H7;DQ,S6,S10,HK;SJ,S4,S5,HQ"
1571910964,0,0,1,"C4,CQ,C2,DA;S8,S7,S3,S2;SJ,SQ,S10,S4;D9,D2,D4,DK;D7,D3,D5,D10;SK,D6,D8,DJ;HQ,SA,H9,DQ;HJ,HK,H7,S5;H6,H5,CA,S6;H4,CJ,CK,S9;H2,C10,C9,H8;H3,C8,C7,H10;C3,C6,C5,HA"
1571910964,0,18,1,"C2,CK,CJ,C5;S7,S3,S9,S2;SQ,S5,SJ,S4;C4,C7,C10,C3;C6,CQ,C8,HA;CA,C9,SK,HQ;D2,D5,D4,DA;D3,D6,D10,DJ;D8,D7,HK,DK;HJ,S10,H8,S6;D9,DQ,H6,H7;H10,SA,H5,S8;H9,H3,H4,H2"
1571910964,0,6,1,"CA,C2,CQ,CK;S4,S2,S3,S9;S5,S6,SJ,S10;C3,SQ,C5,C9;C4,SA,C7,C8;DQ,D5,DK,D2;H10,DJ,D3,D4;H7,D9,D6,DA;H5,H8,HQ,H2;CJ,D10,D7,HA;S8,S7,HJ,HK;C6,SK,H6,H4;C10,H9,D8,H3"
1571910964,0,0,1,"C7,C2,CQ,CK;S3,SJ,S2,S10;SA,C4,C3,CJ;HA,CA,C5,C8;HJ,C10,C6,C9;D10,D2,D7,D3;S6,SK,S4,HK;D5,D6,SQ,D4;D9,D8,H10,DA;H5,DK,H7,DJ;H3,DQ,H2,H9;S9,H4,S8,H8;S7,HQ,S5,H6"
1571910964,0,2,1,"CJ,CQ,C2,C5;S3,S2,S6,S4;S7,S5,SJ,S10;C3,C7,C9,C4;C6,C8,C10,HQ;SK,HA,CK,H10;HJ,HK,CA,H6;D3,D6,D5,D2;H8,S8,SQ,H2;DA,H9,D8,D4;DK,H7,DJ,D7;H3,H4,SA,D10;H5,S9,DQ,D9"
1571910964,0,14,1,"CA,C8,CK,C2;C5,C4,C9,C3;SQ,S6,S2,HA;C7,HQ,C6,CQ;SA,H9,SK,C10;HK,H7,HJ,CJ;D5,D2,D10,D3;H10,S9,S3,H8;DA,D6,SJ,D4;D9,D7,S8,D8;H2,H4,S7,H6;H5,DJ,S5,DQ;H3,S10,S4,DK"
1571910964,0,6,1,"CA,C2,C9,C6;S4,S3,S8,S2;S5,SK,S10,S7;CK,C4,C7,C3;S6,SA,SJ,S9;C5,CJ,C8,SQ;C10,CQ,HA,HJ;D3,D5,D2,DK;D6,D7,D4,D8;DJ,HQ,DQ,D9;DA,H8,D10,H9;H7,H2,H4,H3;H10,H6,HK,H5"
