1571996500,0,0,2,"C2,CK,C10,CJ;S7,S2,S9,S4;SK,S3,S10,S6;C5,C3,SA,C4;C7,C6,HK,C9;H10,S5,SJ,S8;D3,D5,D7,D2;D4,D8,D10,D9;D6,DQ,DJ,DA;H4,SQ,HQ,DK;H3,H5,H7,H2;CA,H8,H9,H6;C8,CQ,HJ,HA"
1571996500,0,15,2,"CQ,C2,C9,CJ;C3,C6,C7,C4;SQ,S5,S4,S2;C5,CA,C8,C10;D4,D7,D3,D2;SK,S6,S8,S3;DJ,HQ,D5,D8;DK,H8,D6,D9;H2,CK,H4,H3;HA,SJ,DQ,D10;HJ,S10,DA,SA;H5,S9,H6,H10;H7,S7,H9,HK"
1571996500,0,2,2,"CQ,C2,C9,C8;S3,S2,S9,S5;C4,C3,C6,C7;S4,SA,SK,S7;C5,CJ,HA,SQ;C10,CK,HQ,HJ;H10,CA,H9,H6;D10,D5,D2,D4;S6,HK,H8,S10;H7,D6,D3,D7;H5,DJ,D8,DQ;S8,DA,H4,SJ;H3,DK,D9,H2"
1571996500,0,0,2,"CQ,C2,CA,CJ;S2,S3,S7,S6;S5,S4,S9,S8;H10,S10,SJ,SA;C10,C4,C3,C5;C6,C7,CK,C8;D2,D7,D4,D3;H9,C9,H7,HA;D5,DJ,D10,D8;H4,SK,H6,HK;DA,SQ,H5,HJ;D9,H3,H2,H8;D6,HQ,DQ,DK"
1571996500,0,0,2,"CK,CJ,C2,CA;S4,HQ,SJ,S2;C6,C5,C4,C3;S5,H9,SK,S3;C9,C7,C8,CQ;S6,H8,SA,S7;HA,D4,D10,D2;HJ,D6,DQ,D3;H6,D7,DA,D5;C10,H5,H4,H2;S10,D8,HK,DJ;S8,DK,H10,SQ;S9,D9,H7,H3"
1571996500,0,6,2,"C2,CJ,C8,CK;S3,S7,S2,S5;S4,S10,S6,S9;S8,SJ,SQ,SK;C7,C3,C4,C9;CA,C5,C6,C10;CQ,HJ,SA,HQ;D3,DQ,D4,D2;D5,D8,D6,D9;D7,H8,DK,D10;H6,H3,H2,H10;DJ,H5,HA,DA;HK,H4,H7,H9"
1571996500,0,20,2,"C2,C10,CA,CQ;S2,S3,S4,S5;S8,SA,S6,S7;C5,C6,C3,C9;SQ,H10,S10,S9;CJ,C7,C4,SK;D7,D2,H9,D6;D9,D3,H8,DQ;DJ,D4,H6,DK;H5,DA,H4,H2;H7,D10,CK,H3;HJ,D8,C8,HQ;HK,D5,SJ,HA"
1571996500,0,17,2,"C8,CA,C2,C10;S4,S6,S2,S3;SJ,S7,S5,S9;D3,D2,D8,D4;SQ,HK,S8,HA;D6,D9,H9,D5;D7,DA,H6,D10;SA,C3,C5,H8;SK,HQ,S10,H7;H2,H10,CK,H5;HJ,C4,C6,DK;H4,C7,C9,DQ;H3,CJ,CQ,DJ"
1571996500,0,3,2,"CA,CK,C2,CQ;S2,S3,S6,S5;S8,S4,S9,S7;C8,C3,C10,C4;DJ,D2,D3,D7;S10,H3,SQ,HQ;DA,D4,D8,D10;SJ,D6,SA,HJ;SK,D5,D9,DK;HK,C5,HA,C6;H5,CJ,H2,H4;H7,C9,H10,H6;H9,C7,DQ,H8"
1571996500,0,9,2,"C2,C8,CJ,CQ;S4,S2,S9,S3;S5,S6,S10,SJ;C3,C7,C5,C9;C4,SA,C6,C10;D9,D4,D3,D2;S8,S7,HK,SQ;D6,D5,D10,D7;H2,H3,H4,SK;H9,H7,H5,DA;CK,HJ,HQ,DK;CA,H10,H8,DQ;HA,D8,H6,DJ"
1571996500,0,15,2,"CJ,CA,C2,C6;S3,S2,SJ,S4;C7,C10,C5,C3;S9,S5,HA,S6;C9,SQ,C8,C4;D2,DK,D4,D5;D3,D7,DA,D8;D6,D9,DJ,DQ;SK,S7,HK,S10;H3,H2,H4,H5;H6,SA,H9,H8;HQ,D10,CQ,HJ;H7,S8,CK,H10"
1571996500,0,1,2,"CK,C10,C9,C2;S5,S4,S2,S6;S7,S8,S3,S9;CJ,C4,C3,CA;D3,DK,D2,D6;HJ,S10,HQ,SQ;D4,SA,D5,D8;DQ,SK,D7,D9;CQ,C5,C7,HA;H3,HK,H2,H6;H9,SJ,H10,H7;H8,C6,H5,DA;H4,C8,D10,DJ"
1571996500,0,5,2,"C2,CA,SA,CK;S2,S6,S4,S9;S3,S10,S5,SJ;C7,C3,SK,C4;S7,SQ,S8,H8;C8,C5,HA,C9;CJ,C6,HQ,C10;CQ,HJ,H9,H6;D8,D3,D2,D5;D10,D4,D6,D9;DQ,D7,H7,DJ;H5,H10,H2,H4;HK,DA,H3,DK"
1571996500,0,6,2,"CK,C10,C2,CA;S4,S8,S2,S9;CQ,C3,C6,C8;S6,H8,S3,SK;C9,C4,SQ,CJ;D4,D7,D2,D5;HK,C5,SA,HA;HJ,C7,HQ,H9;D6,D10,D3,D9;D8,DQ,H5,DJ;DA,DK,S10,H7;SJ,H3,S5,H6;H10,H2,S7,H4"
1571996500,0,13,2,"CA,C2,C9,CQ;S6,S4,S7,S2;S10,S5,SJ,S3;C3,C7,C4,C8;DA,D2,D4,D3;C5,C10,C6,SQ;D10,D8,D5,D6;CJ,SA,H10,SK;CK,HK,H6,HQ;H8,H5,H2,H7;H9,DK,H3,DQ;HJ,S9,H4,DJ;HA,S8,D7,D9"
1571996500,0,0,2,"C2,CJ,CA,CK;S2,S6,S9,S3;C4,C6,C3,C8;S5,SQ,SA,S4;C5,C7,C9,HK;C10,SK,CQ,HQ;D4,D2,D5,D3;DK,D7,D6,D8;S7,HJ,HA,S8;H10,DJ,D9,D10;H6,DA,DQ,H9;SJ,H2,H3,H5;S10,H8,H4,H7"
1571996500,0,0,2,"CA,CJ,CQ,C2;S5,S3,S10,S2;CK,C3,C4,C7;S6,S4,SQ,S7;HJ,SK,C5,C8;H7,HK,C6,C10;D4,D2,D5,D6;D7,D3,D9,D10;H5,D8,DQ,DK;H2,H4,H9,H6;H3,DJ,DA,HA;S8,S9,SA,H10;SJ,HQ,C9,H8"
1571996500,0,0,2,"C9,CQ,C2,CK;S6,S3,S2,S5;S8,S4,S10,HK;S9,S7,SJ,H10;C5,C6,C4,C3;SK,C8,CA,C7;D2,D3,D5,DA;HQ,C10,SQ,CJ;D4,DQ,D6,DJ;H7,SA,HA,H9;D9,H2,H5,H4;D7,HJ,D10,DK;D8,H3,H8,H6"
1571996500,0,10,2,"C10,CA,C2,C7;S3,S6,S7,S2;C3,C6,C8,SA;C4,C9,CJ,H9;C5,SK,CQ,H2;SQ,HJ,CK,DK;D2,D9,D4,D3;D6,D10,D5,DJ;S10,H10,HA,S4;D8,H8,D7,SJ;H7,H3,H5,S9;HQ,H4,DA,S8;HK,H6,DQ,S5"
1571996500,0,0,2,"CK,C2,C7,CA;HK,S3,S2,S6;HQ,S7,S4,S10;HJ,S9,S5,SJ;CQ,C4,C3,C5;D2,DJ,D5,D3;H6,C10,C6,C8;H4,CJ,SK,C9;D6,D7,D9,D4;H3,SA,S8,SQ;DA,H8,H5,H2;D10,H10,H7,DK;D8,HA,H9,DQ"
1571996500,0,5,2,"C7,CA,CQ,C2;S6,S3,S2,HA;S8,S5,S4,H9;S9,S10,S7,H6;SQ,C5,C3,C4;SK,C10,C8,C6;D2,D4,D9,D3;D6,DJ,D5,D7;DA,DK,SA,D8;SJ,HK,H10,H4;H2,H8,H5,DQ;H3,HJ,CJ,D10;H7,HQ,C9,CK"
1571996500,0,0,2,"C10,C2,CK,CQ;S3,SJ,S7,S2;C9,C3,C4,C5;S5,SA,HA,S4;HK,C7,HJ,C6;H8,C8,H9,SQ;H6,CJ,H4,SK;H5,CA,DK,H10;D4,D3,D2,D5;S6,HQ,DJ,S8;S9,DA,D9,S10;H2,DQ,D8,H3;D6,D10,D7,H7"
1571996500,0,0,2,"C10,CA,CQ,C2;S3,S2,S7,S5;C5,CK,C4,C3;S4,S6,SK,S8;C9,SQ,C6,C7;D9,D2,D4,DA;SA,S9,HQ,S10;DJ,D3,D5,H10;DQ,D6,D8,H8;DK,D7,H7,H5;H9,H2,H4,H3;HK,HJ,H6,CJ;HA,D10,C8,SJ"
1571996500,0,1,2,"C2,CA,C10,C7;S2,S10,S3,S7;C3,C8,C6,C4;C5,CJ,C9,SA;CK,CQ,H7,SK;D6,D5,D8,D2;HJ,SQ,S4,HQ;D10,DJ,H6,D3;DK,DA,SJ,D4;H2,H9,S9,H3;H4,H10,S8,DQ;H5,HK,S6,D9;H8,HA,S5,D7"
1571996500,0,16,2,"CK,C2,CA,C6;SJ,S5,S4,S2;C5,CJ,C3,C4;SQ,S8,S6,S3;D10,D4,D2,D6;DQ,D5,D3,D8;SK,HK,S7,S9;SA,H10,S10,HQ;C7,C8,CQ,H8;HA,H9,D7,DK;HJ,H6,D9,DA;C10,H2,H4,H3;C9,H5,DJ,H7"
1571996500,0,10,2,"CA,C5,C2,CQ;S5,S2,SA,S7;C6,SK,C4,C3;S6,S3,HA,S8;S10,S4,H8,S9;C9,HK,CJ,C7;SQ,HJ,CK,C8;D5,D2,D7,D4;DJ,D3,D8,D6;DQ,D9,D10,H9;H6,H3,H4,H2;H10,DK,H7,H5;HQ,SJ,DA,C10"
1571996500,0,0,2,"C2,CK,CQ,CJ;S10,S2,S7,S3;C3,C4,C6,C7;HQ,S5,S8,S4;H9,S6,S9,SQ;DJ,D4,D6,D2;CA,C5,SA,SK;D7,D10,D8,D3;H7,SJ,HA,H6;H4,C8,HK,DA;H3,C9,HJ,DK;H2,C10,H10,DQ;D9,H5,H8,D5"
1571996500,0,11,2,"CQ,C2,CK,CA;S3,S5,S2,S4;S7,SJ,SA,S6;C7,C5,C3,C4;S8,HA,HQ,HK;S9,H10,H6,HJ;S10,H8,DA,H7;C8,H4,C6,C10;SQ,H3,C9,CJ;D8,D3,D2,D4;SK,H2,DQ,DJ;H5,DK,D7,D9;H9,D10,D6,D5"
1571996500,0,4,2,"CA,CK,C2,C6;S2,S5,S6,S3;S8,SK,S9,S4;C9,C3,C4,SA;CJ,C7,C5,HK;D8,D2,D5,D3;DJ,D7,DK,D4;HA,HJ,S10,S7;HQ,H10,SJ,H9;H5,C8,C10,H7;H4,H8,SQ,DQ;H3,D9,H2,D10;DA,CQ,H6,D6"
1571996500,0,12,2,"C2,CQ,C8,CA;S2,S5,S3,S10;S7,S9,S4,SJ;CK,C5,C4,C3;S8,SA,S6,SQ;D3,D2,DA,D6;D4,D10,D8,DK;D5,HJ,SK,DJ;C10,H7,C6,C9;D7,H6,HA,HQ;D9,H5,HK,H8;DQ,H4,H9,H2;H10,H3,C7,CJ"
1571996500,0,20,2,"C2,CQ,CK,C8;S2,S3,S7,S4;S5,S6,S9,S8;HA,H10,S10,SJ;D6,D2,D5,D8;D7,D3,D9,DJ;H9,H7,SA,SK;C7,C4,C3,SQ;C10,C5,C6,HK;CJ,H5,C9,HQ;CA,H4,DA,HJ;H2,DQ,DK,H3;H8,D4,D10,H6"
1571996500,0,3,2,"CA,CJ,CQ,C2;S5,S4,S2,S9;S6,S10,S3,SJ;C6,C4,C3,CK;D10,D6,D3,D2;S7,H8,S8,SK;D9,D7,D5,D4;C9,C5,C7,H9;C10,H7,C8,H6;SQ,H5,SA,H4;HK,DQ,DK,D8;H10,H2,HQ,DA;HJ,H3,HA,DJ"
1571996500,0,4,2,"CA,CK,C2,CJ;S2,S10,S3,S6;S4,SJ,S5,HA;C3,C5,C8,C4;D10,D2,D6,D4;S7,SA,SQ,HK;DA,D3,D8,D5;S8,H8,SK,HJ;H10,D7,DK,DQ;H2,H3,H4,H7;C9,H5,HQ,C6;S9,DJ,H9,C10;CQ,D9,H6,C7"
1571996500,0,13,2,"C2,CQ,C9,CA;S5,S6,S3,S2;S10,S8,S9,S4;C3,C5,C7,C6;D5,D7,D4,D2;SK,SJ,SQ,S7;D10,DK,D6,D3;H7,DQ,D8,D9;C4,CJ,SA,C8;H2,H3,H8,H10;H6,HQ,DJ,DA;C10,H9,HA,CK;H4,H5,HK,HJ"
1571996500,0,0,2,"CK,CQ,C2,CA;S6,S9,S3,S2;C9,C5,C4,C3;S7,SQ,SJ,S4;D6,D4,D2,D5;S8,HK,SA,S5;SK,C7,CJ,C6;HA,DK,D3,D7;HQ,C8,H7,C10;H10,HJ,D9,D8;H8,H4,D10,DJ;H5,H3,DA,DQ;S10,H2,H6,H9"
1571996500,0,16,2,"CA,C3,CK,C2;S3,S6,S8,S2;C10,SA,C5,C4;S10,S9,HA,S4;SJ,SK,H3,S5;D5,D2,DA,D3;CQ,HQ,C6,C8;DK,D4,D8,D6;SQ,H7,D10,S7;H2,H4,D9,H8;HJ,D7,CJ,DQ;H5,H6,C9,H10;H9,DJ,C7,HK"
1571996500,0,4,2,"C4,C10,C2,CA;S4,S2,S3,S5;S6,S10,S9,S8;C3,C9,C8,C5;D2,D5,DA,D3;SA,SQ,CJ,C6;D4,D7,D8,DQ;S7,SK,HQ,SJ;D6,D9,H7,HJ;DK,D10,H5,H6;H8,HK,H2,H4;HA,DJ,H3,CQ;H10,H9,CK,C7"
