1571996507,0,21,2,"CA,C8,C2,C9;S8,S4,S2,S6;S9,S10,S3,SJ;C10,C7,SK,C3;CJ,SQ,HQ,C4;CQ,HJ,H9,C5;CK,H10,H7,C6;D2,D9,D5,DJ;D3,D10,D6,DQ;HK,H2,DA,H4;D4,DK,D8,HA;SA,H3,S7,H5;D7,H6,S5,H8"
1571996507,0,0,2,"CK,CQ,C9,C2;S4,S3,S5,S2;S6,S10,S8,S7;CJ,C7,C3,C5;S9,HA,HQ,SK;SQ,HK,C4,C10;SA,H10,C6,CA;D5,D4,D9,D2;D7,D6,DJ,D3;H5,H9,C8,H8;DA,H6,H2,H3;DQ,DK,HJ,D8;SJ,H7,H4,D10"
1571996507,0,0,2,"CQ,C6,CJ,C2;S2,S6,S3,SJ;C10,C4,C3,C5;S4,S9,S5,SQ;C9,HA,C7,CK;SA,H10,C8,CA;D4,D5,D2,D6;SK,D8,D3,DJ;H9,D9,D7,DQ;H6,D10,DK,DA;H3,H2,H5,H4;S8,H7,HJ,H8;S7,S10,HK,HQ"
1571996507,0,0,2,"CK,C9,C2,CA;S6,S3,S7,S2;SK,C5,C3,C6;S8,S10,HQ,S4;HJ,SJ,H5,S5;H6,C7,C4,C8;H4,SA,DA,S9;D3,D6,D2,D9;H2,HK,C10,CQ;D5,H10,D4,DK;DQ,H9,DJ,SQ;D10,H3,D8,H8;D7,H7,CJ,HA"
1571996507,0,0,2,"CQ,C2,CK,CA;S5,S2,S3,S8;SA,S4,S7,S9;C3,C7,C8,C6;C4,CJ,C9,HA;H10,S6,SQ,H9;C5,HK,C10,H8;D4,D3,D8,D2;D6,DA,D10,D5;H6,S10,SK,H7;DJ,H4,H2,H3;D9,SJ,HQ,DK;D7,H5,HJ,DQ"
1571996507,0,0,2,"CA,C2,CJ,CK;S3,S5,S2,S8;SQ,C7,C3,C6;H7,C9,C4,C10;D10,SK,C5,CQ;D2,D4,DK,D5;S6,HK,S4,SA;D3,D9,HA,D6;D8,H2,H4,H6;D7,H10,HJ,DJ;S10,H9,H8,DQ;S9,H5,C8,DA;S7,H3,SJ,HQ"
1571996507,0,9,2,"CA,C10,CK,C2;S3,S2,S4,S10;C3,C5,C4,C9;HK,C6,C7,CQ;D3,D5,D2,D4;S6,S5,SA,SQ;HJ,C8,CJ,SK;D8,HA,D7,D6;DJ,HQ,D9,D10;S7,S9,H10,H9;H8,H4,DA,H2;S8,H7,DK,H6;SJ,H5,DQ,H3"
1571996507,0,19,2,"C8,CK,C9,C2;S2,S8,S4,S3;C4,C10,SA,C3;C6,CJ,SK,C5;D6,D3,D2,D8;SJ,HJ,S5,S6;C7,H10,H5,CQ;SQ,H9,S9,S7;D7,D4,DJ,DQ;D10,D5,DK,DA;HA,H6,H4,CA;HQ,H3,H2,H7;H8,D9,S10,HK"
1571996507,0,11,2,"CJ,C2,C5,CK;S5,S6,S3,S2;SQ,C3,HK,C4;SK,C6,H10,CQ;DA,D4,D2,D3;D8,SA,D5,D6;S8,HJ,S4,H4;S9,H8,S7,DK;S10,CA,SJ,DQ;H5,C10,H2,DJ;H9,C9,H3,D10;HQ,C8,H6,D9;HA,C7,H7,D7"
1571996507,0,21,2,"C2,C4,CK,C10;S9,S8,S3,S2;C5,HQ,C6,C3;SK,HJ,S5,S4;C8,H7,CQ,C7;SA,H3,S7,S6;C9,H2,SQ,HA;CJ,D9,HK,H10;CA,D8,H9,H8;D2,D3,DJ,D10;D5,D4,DA,DK;H5,D7,S10,SJ;DQ,D6,H6,H4"
1571996507,0,0,2,"C6,C4,CA,C2;S2,S6,S7,SK;C3,SQ,CJ,C7;D9,D7,D2,D3;DJ,D10,D4,D5;S3,S9,HK,HA;HJ,DK,D6,D8;S4,S10,HQ,DA;S5,SJ,H10,CK;S8,SA,H8,CQ;H3,H5,H2,C10;H4,H7,H6,C9;C5,H9,DQ,C8"
