1571996527,0,10,0,"CA,C9,C2,CQ;S3,S4,S2,S6;S8,S5,S9,S10;C6,HK,C3,C5;SJ,S7,SK,HA;C7,HQ,C4,C8;C10,H9,CK,CJ;D4,D5,D8,D2;SQ,D6,DQ,D3;SA,D9,DA,D7;H5,H3,H2,H4;H10,DK,H7,H6;HJ,D10,H8,DJ"
1571996527,0,1,0,"CA,CJ,CK,C2;S2,S8,S3,S4;S7,S10,S5,S9;D2,D3,DA,D4;HK,HA,S6,SQ;C6,HJ,C3,C4;DQ,D7,SA,D5;C7,H10,C9,C5;HQ,H9,SJ,H5;H8,H6,SK,DK;C8,D10,C10,CQ;H4,D8,H7,D6;H3,D9,H2,DJ"
1571996527,0,6,0,"C2,CA,SA,C8;S9,S2,S4,S3;S10,H4,S7,S5;C4,C5,SQ,C3;C7,C9,HA,C6;C10,CJ,HQ,H9;SK,CQ,H10,H5;HK,CK,H8,DK;D8,D5,D2,D3;H3,DQ,H2,D4;H6,D9,DA,SJ;H7,D7,DJ,S8;HJ,D6,D10,S6"
1571996527,0,2,0,"CK,CA,C2,CJ;SK,S4,S2,S3;C4,C3,C8,C9;SA,S9,S5,S6;C6,C5,CQ,HK;HA,SJ,S7,S10;C10,C7,HJ,HQ;DJ,D6,D2,D3;DA,D8,D4,D7;H2,H5,H3,H6;H9,D9,D5,D10;H7,SQ,DQ,DK;H4,H8,S8,H10"
1571996527,0,1,0,"CJ,C2,C10,CA;S2,S10,S6,S3;C6,C3,C7,C4;D2,D8,D5,D3;C8,C5,HA,SK;S9,SQ,H8,S4;D6,DQ,D9,D4;HJ,SA,H7,S5;H10,C9,H6,H5;H9,CQ,H3,DK;H4,CK,H2,SJ;DA,HQ,DJ,S8;D7,HK,D10,S7"
1571996527,0,22,0,"C2,CK,C9,CA;S2,HQ,S5,S3;S8,HJ,S6,S4;SJ,H5,S7,S9;C3,C6,C4,C7;SA,H3,SK,S10;C5,CJ,C8,C10;D3,D2,D4,D5;HK,H2,HA,CQ;DK,D8,D6,D7;DJ,D9,H9,D10;H8,DA,H4,H6;H10,DQ,H7,SQ"
1571996527,0,0,0,"C9,CA,CQ,C2;HQ,S6,S2,S4;H8,S7,S3,S5;H4,SJ,S10,S8;C3,C8,C4,C5;C6,CJ,SQ,C10;D4,D6,D2,D3;C7,CK,SA,SK;DK,H2,H6,H5;D7,HA,D5,DJ;D10,HJ,HK,S9;D9,H3,DA,H7;D8,H9,DQ,H10"
1571996527,0,0,0,"CK,C2,CA,C8;S7,S2,S3,S6;C3,C6,C9,C4;SK,S4,S5,S10;C5,C10,CJ,H10;HK,S9,S8,H4;HJ,SJ,SQ,DK;D5,D9,DQ,D2;DA,H7,H2,D10;DJ,SA,H9,D7;D8,H8,H3,D6;CQ,HQ,H5,D4;C7,HA,H6,D3"
1571996527,0,4,0,"CK,C2,CA,C10;S10,SQ,S4,S2;C3,C7,C9,C6;D2,D3,D5,DQ;D4,D9,D7,D6;C4,CJ,HA,C8;C5,CQ,H10,SA;DA,D10,D8,HQ;SK,HK,S5,S3;H5,H4,H8,H2;H9,HJ,S6,S7;H7,DK,S8,S9;H6,DJ,SJ,H3"
1571996527,0,11,0,"CQ,C8,C2,CK;S4,S3,S2,S5;S7,SK,S6,S10;C3,C4,C6,C7;C5,SA,CA,C10;S9,HA,S8,HK;C9,HQ,H7,CJ;D3,D8,D2,D5;D4,DJ,D6,D10;SQ,DA,D7,DK;H5,H2,DQ,H3;H8,H6,D9,H4;HJ,H9,SJ,H10"
1571996527,0,4,0,"C2,CK,CA,CJ;S3,S2,S4,SA;C4,CQ,C3,C5;S5,S7,S6,HJ;S8,S9,SQ,H5;D6,D2,D3,D4;D8,DA,D5,D7;H9,DJ,SK,D9;H7,DQ,HA,D10;H3,H4,HQ,H2;C9,HK,C6,C8;S10,H8,H10,DK;SJ,H6,C7,C10"
1571996527,0,8,0,"C2,C10,CQ,CA;S2,S9,S4,S5;S3,S10,SK,S6;C8,C3,C6,C5;S7,SJ,HK,S8;CK,C4,HQ,C7;D2,D4,D5,D8;SA,SQ,HJ,C9;H9,HA,H7,CJ;D3,D6,DJ,DQ;D9,D7,DA,DK;H5,H2,H3,H4;D10,H8,H6,H10"
1571996527,0,4,0,"CK,CQ,C2,C5;S8,S2,S7,S3;S9,S4,S10,SK;C6,CJ,C3,C4;H5,S5,SJ,SA;D3,D6,D5,D2;H4,S6,SQ,HQ;C8,HA,C7,H9;C10,HK,C9,H8;D7,D10,H10,D4;DA,H2,H6,DQ;DK,HJ,CA,DJ;D9,H3,H7,D8"
1571996527,0,26,0,"CA,CK,C2,C9;S8,S3,S6,S2;S9,S10,S7,S4;C6,C3,C4,C5;C7,C8,HK,HA;C10,CJ,HQ,H9;D3,D4,DA,D2;HJ,SQ,SJ,S5;D6,D7,D5,D10;D9,DK,D8,DJ;H6,SK,H8,H3;H4,SA,H7,H2;CQ,H10,H5,DQ"
1571996527,0,11,0,"C2,CA,C9,CQ;S3,S4,S2,SQ;C3,C4,C6,CJ;D4,DQ,D2,D6;S7,SJ,S5,SA;D5,HA,D3,D7;D10,HJ,D8,DJ;DA,H10,D9,DK;SK,H3,S6,HK;C7,C5,H8,H9;CK,C8,S10,H6;H7,H2,S9,H4;HQ,C10,S8,H5"
1571996527,0,0,0,"C2,CJ,C7,CA;S2,SQ,S6,S4;C3,C5,C4,C8;CQ,C6,SA,C10;D6,D2,D3,D5;S3,SK,S10,S5;H7,C9,HK,CK;H6,D4,D9,D8;H5,D7,DJ,D10;H4,DA,DQ,HA;S9,H8,H2,H3;S8,H10,DK,H9;S7,HJ,SJ,HQ"
1571996527,0,0,0,"CQ,C2,CK,CA;S6,S2,S3,S8;S7,SK,S4,SJ;CJ,C5,C4,C3;S9,HJ,S5,SA;SQ,C6,C9,C8;D2,D9,D5,D4;H10,C7,H9,C10;D3,D10,D7,D8;D6,DK,DJ,HA;DQ,DA,H8,HK;H2,H3,H7,H4;H5,H6,S10,HQ"
1571996527,0,21,0,"C2,CA,SA,CK;S2,S7,S3,S5;S4,S8,S9,S6;D4,D8,D2,D3;HJ,SJ,HQ,S10;C5,C3,H8,C4;C7,C8,H7,C6;CJ,C10,H6,C9;CQ,SQ,H5,SK;D6,HK,D9,D5;D10,H10,DJ,D7;DK,H4,DQ,HA;DA,H3,H2,H9"
1571996527,0,0,0,"C2,CQ,CA,CK;S3,S6,SJ,S2;C8,C4,C3,C6;S8,S9,HA,S4;H10,C5,C7,C10;H7,SQ,HK,S5;D4,D9,D2,D3;D6,DJ,D5,D8;D7,DQ,D10,DK;H4,HQ,HJ,S7;H3,H9,H6,S10;H2,H8,CJ,SK;DA,H5,C9,SA"
1571996527,0,7,0,"C9,C2,C10,CA;S5,S4,S3,S2;S7,S8,S6,SJ;C4,C5,H10,C3;S9,S10,H7,SA;C6,CQ,H4,CJ;D5,D4,D3,D2;C7,SQ,DK,CK;D10,D6,D7,DA;H5,H2,DQ,H3;SK,HA,DJ,HQ;C8,HK,D9,HJ;H6,H8,D8,H9"
1571996527,0,2,0,"CJ,C6,CA,C2;S3,S2,S7,S4;S5,S6,S8,HK;S9,S10,SJ,H6;C7,SA,C8,C3;C10,SK,C9,C4;D4,D3,D8,D2;D7,D5,D10,DK;SQ,HQ,H10,C5;HA,HJ,H7,CQ;H9,H8,H5,CK;H4,DQ,DA,H2;D9,D6,DJ,H3"
1571996527,0,3,0,"CA,C9,CK,C2;SJ,S3,S7,S2;C6,C3,C5,C7;SK,S4,S9,S5;CQ,C4,CJ,C10;D6,D3,D2,D4;DQ,D8,D5,DJ;DA,DK,D7,HJ;H5,H3,H7,H2;HA,SQ,D9,H6;HK,H8,D10,H4;HQ,S10,SA,S6;H10,C8,H9,S8"
1571996527,0,1,0,"CA,C10,C2,SK;S6,S2,S7,S3;C4,C3,C8,SQ;D5,D3,D6,D2;D9,D8,D7,D4;DQ,DJ,DA,D10;C5,SA,C9,HJ;C6,HA,CJ,H5;C7,HK,CQ,H2;H9,HQ,CK,S10;H7,H10,H3,S9;H8,DK,H6,S8;SJ,S4,H4,S5"
1571996527,0,0,0,"CQ,C2,C8,CA;S4,S2,SA,S3;C10,C6,C4,C3;S5,S7,H10,S10;HA,C9,C5,C7;S6,S9,H8,SK;H4,CK,H7,CJ;S8,SJ,H5,HQ;D2,D4,D5,D6;D3,DK,D8,D10;H3,SQ,H2,H9;D9,HJ,DA,H6;D7,HK,DJ,DQ"
1571996527,0,5,0,"C2,CA,CJ,C9;C5,C7,C3,C4;SQ,CQ,C8,C6;SA,CK,C10,HJ;D5,D3,D9,D2;D7,D4,D6,DK;D10,DQ,HQ,D8;HK,DA,H9,DJ;S5,SK,S2,S4;H3,H5,H2,H4;H8,H6,S8,S10;SJ,HA,S3,S6;H10,H7,S7,S9"
1571996527,0,16,0,"CK,C7,C2,CA;S4,S2,S6,S3;SK,S5,S7,SQ;C6,HQ,C9,C3;D6,D3,DK,D2;D7,D4,DA,D5;SA,S9,S8,H10;C8,H7,HA,C4;D8,D10,HJ,DJ;HK,H6,H9,C5;H4,H5,H8,C10;DQ,H3,H2,CJ;D9,S10,SJ,CQ"
1571996527,0,21,0,"CA,CK,C10,C2;S5,S9,S3,S2;C4,C3,C9,C7;S6,SK,S4,S8;C6,C5,HJ,SQ;C8,CJ,H5,SA;HA,CQ,D10,HK;D4,D8,D2,D3;D6,D9,D5,DQ;H4,H3,D7,H2;H6,DA,SJ,H7;H10,DK,S10,H8;HQ,DJ,S7,H9"
1571996527,0,0,0,"C9,CQ,C2,CA;S2,S4,S3,S5;S6,S10,HJ,S7;S9,SJ,H7,S8;C7,C4,C3,C6;D3,D4,D2,D5;HA,HK,C5,CK;D8,D6,D9,D7;H8,H10,C8,SQ;H6,D10,DQ,SA;H5,DJ,DA,SK;H3,H9,C10,HQ;H2,DK,CJ,H4"
1571996527,0,13,0,"CA,C2,C9,C6;S2,SK,S4,S10;C7,C5,SQ,C3;S3,HA,S5,HJ;HQ,D3,D8,D2;H3,D9,DJ,D4;CK,DQ,DK,D5;CJ,HK,DA,D6;S6,H9,SA,H8;SJ,H7,H2,H5;S9,C8,H10,C4;S8,C10,H6,D10;S7,CQ,H4,D7"
1571996527,0,5,0,"CJ,C2,C9,CA;S6,S8,S2,S4;HQ,S9,S3,S5;HJ,S10,S7,SJ;C10,C5,C4,C3;C6,C7,C8,CQ;DA,D3,D2,D5;D8,DK,D4,D7;H10,CK,SQ,SA;H6,H4,H2,H3;DQ,HA,D6,D10;H7,H5,SK,H9;H8,HK,D9,DJ"
1571996527,0,19,0,"C2,C5,C7,CK;S2,S6,S5,S4;S3,S10,S8,S7;SQ,SJ,S9,HK;D2,D4,D3,D5;D7,DK,D8,D6;SA,SK,H9,HJ;CJ,C3,C6,C8;CQ,C4,H5,C9;CA,HQ,H3,C10;H4,H2,DQ,H8;HA,H7,D10,D9;H10,H6,DJ,DA"
1571996527,0,16,0,"C10,C2,C9,CA;S5,S2,S3,S6;SQ,S8,S4,S10;C3,CK,C6,C4;D3,D6,D4,D2;D5,DA,D9,D7;C5,C7,HK,CQ;D8,H10,DJ,D10;SK,H8,S7,HA;DQ,H6,H7,DK;H4,H2,H5,H3;SA,CJ,S9,HQ;H9,C8,SJ,HJ"
1571996527,0,13,0,"CJ,C10,CA,C2;S2,S4,S3,S6;SQ,S5,S9,S8;D4,D2,D7,D6;SA,D3,DQ,D9;SK,D5,DK,DJ;HA,D8,DA,H8;C5,C6,C3,CK;H10,S7,HQ,S10;H7,HK,HJ,SJ;H6,C7,C4,C9;H4,H2,C8,CQ;H3,D10,H9,H5"
1571996527,0,2,0,"C2,CA,DA,CK;S2,S4,S3,SJ;C5,C4,HA,C3;S5,S6,S7,SQ;C6,C7,HK,C8;CQ,C10,H7,C9;DQ,D8,D2,D3;S8,HJ,S9,SK;SA,H6,DJ,CJ;H10,H5,D4,D6;H9,H4,D5,D7;H8,H3,D9,DK;S10,H2,D10,HQ"
1571996527,0,5,0,"CA,CJ,CQ,C2;S3,S2,S10,S7;C5,C4,C3,C9;SJ,S4,SQ,S8;CK,C6,C8,C7;D2,DQ,D3,D4;D5,D8,D6,D7;SA,S5,HA,H9;D10,SK,DJ,D9;HK,HQ,DA,DK;H10,HJ,C10,H8;H3,S9,H5,H2;H7,S6,H6,H4"
1571996527,0,3,0,"CA,C2,C8,CK;S7,S5,S2,S6;C3,C5,C6,C4;SA,S9,S3,S10;C7,SQ,SK,C10;C9,HA,HJ,CJ;HK,H10,H9,CQ;D6,D2,D7,D4;D8,D3,DA,D5;H8,SJ,S4,HQ;D9,DJ,H7,D10;H6,DK,H4,DQ;H5,H3,S8,H2"
1571996527,0,2,0,"C8,CA,CQ,C2;S9,S3,S5,S2;D4,D10,D3,D2;HK,C5,C4,C3;H9,C6,C9,C7;H8,SK,S6,S4;H7,CJ,SA,C10;H5,CK,HJ,SQ;D6,D5,D7,DQ;DJ,HA,D8,DK;H3,HQ,S7,S8;H2,H6,SJ,S10;DA,H4,D9,H10"
1571996527,0,26,0,"C2,CA,CQ,CK;S4,S3,S8,S2;S7,HA,S9,S5;C4,C3,C8,C9;S10,HJ,SQ,S6;C6,C5,C10,HQ;D7,D4,D2,D10;DK,D5,D3,D8;SA,DA,SK,SJ;H2,D9,H8,H3;HK,D6,DJ,H9;H6,CJ,DQ,H7;H5,C7,H10,H4"
1571996527,0,6,0,"C2,CQ,CK,C8;S2,S6,S10,S3;C3,HK,C4,C5;S5,S9,HA,S4;DQ,D2,D3,DJ;S7,HQ,HJ,SJ;C10,H9,C7,C6;S8,H7,H5,SK;SQ,D4,D6,DA;H8,D10,DK,SA;H3,D9,D7,H2;CA,D8,C9,H10;H6,D5,CJ,H4"
1571996527,0,19,0,"CA,CK,CJ,C2;S3,S5,S2,S4;S9,SJ,S6,S10;C7,C3,C4,C10;DA,D5,D2,D3;C8,C6,C5,SA;C9,CQ,SK,HK;D8,D9,DK,D4;SQ,HA,S7,H9;DQ,D10,HQ,D6;H5,H10,H2,H3;HJ,DJ,H6,D7;H8,H7,S8,H4"
1571996527,0,0,0,"C2,C8,CJ,CQ;S10,S3,S2,S8;SJ,S5,S4,SQ;C4,C3,C6,C7;C5,H9,C9,C10;D4,D3,D5,D2;D10,D7,D6,DK;H8,D8,D9,DJ;H7,S6,S7,SK;H4,H3,HQ,H2;H5,S9,SA,HJ;CA,DA,HK,H6;CK,DQ,HA,H10"
1571996527,0,7,0,"CJ,CK,C8,C2;S8,S2,S3,S7;S9,S10,S4,SQ;D4,D6,D2,D3;C3,C9,C6,C4;D8,DK,D5,D7;D9,DA,HA,D10;SA,SJ,S5,HJ;C10,SK,HQ,C5;DJ,HK,H8,H5;DQ,H10,H7,CA;H3,H2,H6,CQ;H4,H9,S6,C7"
1571996527,0,0,0,"C2,CJ,C9,CA;S5,S3,S4,S2;S6,SA,S9,S7;C4,C6,C5,C3;C10,C8,HA,C7;S10,HK,H7,S8;D5,D9,D2,D10;SQ,HJ,H3,SJ;D6,DK,D3,DQ;H6,H2,DA,H4;DJ,H9,D4,SK;H10,H5,D8,CK;HQ,H8,D7,CQ"
1571996527,0,13,0,"CQ,C2,CA,C10;S4,S2,S8,S9;S5,S3,SK,SJ;C3,C4,CJ,C5;C9,C7,CK,C6;D3,D2,D4,D9;HA,H9,SA,C8;D5,D6,D10,D8;DA,D7,DJ,SQ;S6,S7,HJ,HK;HQ,DQ,H5,H10;H6,DK,H4,H8;S10,H2,H3,H7"
1571996527,0,20,0,"C7,CK,C10,C2;S5,S2,S4,S3;S9,SJ,S6,S10;C4,C3,C8,C9;C5,CJ,HQ,CA;D4,D2,D10,D3;SQ,HK,S7,HA;DK,D5,HJ,D7;SK,H5,S8,H8;SA,DA,H10,H4;C6,CQ,H6,DQ;H9,D6,H3,D8;H7,D9,H2,DJ"
1571996527,0,0,0,"C2,CQ,CK,CA;S2,S3,S7,S4;CJ,C7,C3,C4;S6,S5,SA,S9;HK,HA,C5,C8;HQ,H8,C6,C10;D2,D4,D5,D3;H9,H5,C9,SQ;D6,D7,D9,DK;D8,DJ,DA,D10;H2,DQ,H3,H7;SJ,S8,H10,SK;H4,S10,H6,HJ"
1571996527,0,18,0,"CA,CK,C9,C2;S3,S4,S2,S8;C3,C10,C4,C7;S7,S5,S6,HJ;C6,CJ,C5,CQ;D4,D2,D8,D3;HK,S10,S9,H7;D9,D5,DQ,D6;H10,SK,SJ,H5;DK,D10,SQ,D7;DA,HQ,SA,DJ;C8,H6,HA,H4;H8,H2,H9,H3"
1571996527,0,22,0,"C2,CA,CK,C9;S2,S10,S3,S4;C6,C4,C3,C5;S8,SA,S5,S7;C8,CJ,C7,SK;D5,D2,DJ,D4;SQ,HA,S6,S9;CQ,HK,C10,H9;D9,D3,D8,D6;DQ,D7,H8,D10;DA,HQ,H7,DK;H3,H10,H4,H2;HJ,H6,H5,SJ"
1571996527,0,19,0,"C2,CJ,CK,SK;S4,S3,S6,S2;SQ,S5,S8,S7;D7,DJ,D2,D3;HA,SA,SJ,S9;C4,C9,C3,HK;C5,C10,C7,H5;H6,H3,H4,H2;D10,HQ,D4,D5;DA,H10,D9,D6;C6,H9,C8,DQ;CA,H8,DK,D8;CQ,H7,HJ,S10"
1571996527,0,4,0,"C7,C2,CQ,CA;S5,S10,S9,S2;S6,SJ,SA,S3;SK,C8,C3,C4;HA,CJ,C6,C5;D6,D2,D3,D4;S8,SQ,H4,S4;D8,D5,D7,D9;DQ,HJ,D10,DJ;H6,H2,DA,H5;H7,H3,DK,HK;HQ,H10,C10,S7;H8,H9,C9,CK"
1571996527,0,13,0,"C8,C2,CJ,CK;SQ,S8,S2,S4;C3,CA,C6,C7;C4,C9,C10,CQ;D2,D5,DJ,D7;D3,D10,DQ,HA;H9,S9,S3,S5;D4,DK,H10,HK;D6,DA,H8,HJ;H6,SK,S6,S7;D9,SA,S10,H7;D8,H5,H3,H2;C5,HQ,SJ,H4"
1571996527,0,14,0,"CA,C2,CK,CQ;S3,S4,S2,S7;S6,S8,S5,SJ;C4,C3,C6,C5;C8,C7,C9,SK;D3,D9,D6,D2;SA,S9,SQ,H8;D5,D10,DK,D4;H2,HJ,H6,H3;D7,DA,HA,DJ;H9,S10,HK,H7;H4,C10,HQ,H5;D8,CJ,H10,DQ"
