1571999416,0,26,0,"CA,CJ,CQ,C2;S4,S6,S2,S8;S5,HA,S3,SJ;C3,C6,C8,C4;S7,H10,S10,SQ;C5,H9,SK,C9;C7,H7,HK,C10;HJ,H6,HQ,CK;D3,D6,D5,D2;DJ,D9,D8,D4;DK,DQ,D10,D7;S9,H3,H8,SA;H4,H2,H5,DA"
1571999416,0,4,0,"CQ,C2,C3,CA;S2,S8,SJ,S4;D2,D7,D3,DQ;S3,S9,SQ,S7;DA,D8,D4,DJ;S5,SK,HJ,S10;SA,D9,D5,HK;HA,D10,D6,H10;C4,C5,H9,C7;CJ,C6,H6,C8;S6,HQ,H5,H2;H4,H8,H3,CK;H7,C10,DK,C9"
1571999416,0,0,0,"CK,C2,C8,CQ;S5,S3,S2,S4;C5,CA,C4,C3;SQ,S7,S6,SK;HA,CJ,C6,C9;D2,D4,D8,D3;HQ,SA,C7,C10;DQ,D10,D5,D7;H2,HK,H7,H3;H10,DK,D6,D9;H9,S9,S8,H6;H5,S10,SJ,DA;H4,H8,HJ,DJ"
1571999416,0,13,0,"CK,CJ,CA,C2;S4,S3,S2,S7;HQ,S8,S5,S10;H9,SK,S6,SJ;C5,C6,CQ,C3;H6,HJ,S9,SA;C10,C7,SQ,C4;D3,DJ,D6,D2;H3,C8,HA,HK;DQ,C9,H10,H7;D4,D7,DA,DK;D9,D10,H4,H2;D5,D8,H8,H5"
1571999416,0,13,0,"CJ,C2,C10,CA;S10,S2,S5,SJ;C9,C4,C5,C3;C8,CK,C6,C7;SK,S3,S6,SQ;D3,DA,D2,D6;H6,S4,S7,SA;H3,HA,H10,CQ;D7,HK,D4,D9;D8,H9,D5,D10;DJ,H8,H7,DK;H2,H4,H5,HJ;DQ,S9,S8,HQ"
1571999416,0,1,0,"CA,C2,C3,C9;S3,S10,S2,S6;CJ,C5,SK,C4;S5,HA,S4,SJ;CQ,C10,HQ,C6;D2,D6,D3,D9;SQ,CK,H10,C7;D10,D7,D4,DK;HK,HJ,S7,SA;H9,H7,D8,C8;H3,H4,D5,H2;DJ,DQ,S9,H6;H8,DA,S8,H5"
1571999416,0,23,0,"CQ,CA,C2,CK;S2,S5,S7,S6;S3,S8,S9,SJ;C5,C3,SQ,C4;D3,D2,D4,D6;S4,HJ,S10,SK;C8,C6,SA,C7;D9,DQ,D5,HA;C10,C9,H3,CJ;H7,H5,DJ,H2;H9,H8,D10,H4;HQ,DA,D8,H6;HK,DK,D7,H10"
1571999416,0,18,0,"CQ,C2,CK,CA;S5,S3,S7,S2;C3,C4,C5,C7;S6,S9,HA,S4;C8,C10,C6,HQ;D4,D3,D10,D2;CJ,SQ,C9,H8;D5,DQ,D6,D9;S10,SK,H9,S8;H10,H3,H2,H4;DJ,HJ,D7,DK;SA,H7,D8,DA;HK,H6,H5,SJ"
1571999416,0,0,0,"C10,CQ,C2,CA;S4,S2,S3,S6;S5,S9,SA,S10;C5,C7,C3,C4;D8,D2,D7,D4;S7,HJ,H10,HA;S8,H8,H4,H9;SJ,H5,H3,H6;SK,DA,H2,DK;SQ,DJ,DQ,D5;H7,D9,D10,CK;HQ,D6,CJ,C9;HK,D3,C8,C6"
1571999416,0,0,0,"C2,C9,CK,CA;S8,S4,S2,S5;C4,C7,C6,C3;SK,S9,S3,S7;C5,SQ,C10,C8;D2,D8,D5,D3;D6,D9,DQ,D4;H7,SA,S6,SJ;H2,H6,H4,H5;H3,H9,H8,DA;DJ,H10,HK,DK;CQ,HQ,S10,D10;CJ,HJ,HA,D7"
1571999416,0,0,0,"C2,CA,C10,CK;C7,C3,C6,CQ;S2,SA,S4,S3;HA,C4,C8,SQ;HJ,C5,C9,HK;D2,D7,D5,D3;D9,D8,D6,D4;D10,H10,DQ,DJ;S5,H9,S6,S8;DK,H7,SK,DA;S7,H6,S9,S10;H8,H2,HQ,SJ;H4,CJ,H3,H5"
