1571996520,2,15,2,"CA,C7,CK,C2;S8,S2,S3,S5;SJ,S4,S6,HJ;C9,C6,C8,C3;D5,D3,D2,DQ;SQ,SA,C10,C4;D6,D4,D10,DK;HK,SK,H6,C5;H8,HA,H5,CJ;H7,HQ,H2,CQ;D9,H4,DA,H3;D8,S7,S9,H10;D7,S10,DJ,H9"
1571996520,2,13,2,"CQ,C4,C2,CJ;S6,S2,S4,S7;S8,S3,SJ,S9;C6,SA,C5,C3;D4,DA,D2,D3;SQ,S5,DQ,S10;D5,D6,DJ,D8;HA,SK,C7,HK;HQ,HJ,C8,H8;H10,H9,C9,H7;H6,H4,C10,H5;H3,DK,CK,D10;H2,D7,CA,D9"
1571996520,2,10,2,"CQ,CK,C2,C9;S9,S5,S2,S3;S10,SJ,S6,S4;C6,C4,CA,C3;SQ,HK,S8,S7;C10,C7,SA,C5;D3,D2,D8,D9;D4,D5,DJ,D10;D6,HJ,DQ,DK;D7,H8,SK,DA;H2,H3,H7,H4;H6,CJ,H10,H5;H9,C8,HA,HQ"
1571996520,2,24,2,"CJ,CA,C2,CK;S7,S2,S10,S3;C5,C3,C6,C4;C9,C8,C7,CQ;S8,S4,SK,S5;SQ,HJ,C10,SA;D5,D6,D2,D3;D7,D8,D4,DQ;SJ,S9,HK,S6;D9,DK,D10,H10;H2,H3,HQ,H4;HA,H9,DJ,H8;H6,H5,DA,H7"
1571996520,2,14,2,"CK,C9,C2,C6;S2,S5,SJ,S3;C10,C3,C4,C5;S4,S8,SQ,S6;CJ,C7,C8,SA;CQ,SK,CA,HQ;D2,DJ,D3,D7;H10,S9,HA,S7;H7,S10,HJ,H8;H6,H2,H4,H5;D6,HK,D4,D9;D8,H9,D5,D10;DA,H3,DK,DQ"
1571996520,2,25,2,"CQ,C9,CA,C2;S7,S10,S4,S2;S8,SJ,S5,S3;C3,C5,C7,SK;SA,H9,S9,S6;C4,C8,C10,H10;C6,H4,CJ,H7;HA,DA,CK,H5;DQ,D3,D2,D4;H3,DK,H8,H2;HK,D5,DJ,D8;HJ,D7,SQ,D10;H6,D6,HQ,D9"
1571996520,2,1,2,"CQ,C7,CA,C2;S3,S7,S2,S9;C3,C4,C9,C5;S6,S8,S4,SK;C6,HA,C10,CJ;C8,H10,SA,CK;D3,D2,DJ,D5;S10,SJ,S5,HQ;D6,D4,DK,D7;D8,D10,DQ,HJ;H9,H3,H4,H2;D9,DA,HK,H8;SQ,H7,H5,H6"
1571996520,2,13,2,"C8,CA,C2,CK;S4,S2,HK,S6;S5,S3,HJ,S8;S7,S9,H8,SJ;C4,C7,C3,C10;SA,C9,C5,CJ;SK,H10,C6,CQ;D3,D2,D7,D6;D10,D4,D8,D9;DJ,D5,DA,SQ;H2,H7,H4,HA;H3,DQ,H5,H9;DK,S10,H6,HQ"
1571996520,2,5,2,"CQ,C2,CK,CJ;S8,S4,S5,S2;C4,C3,SA,C9;HK,SQ,S10,S3;C5,C6,SK,C10;D2,D3,D4,D10;D5,D7,D6,DA;H10,HQ,SJ,S6;DQ,D8,D9,H8;C8,C7,HA,H6;H2,H5,H3,H4;H9,DJ,DK,S9;H7,CA,HJ,S7"
1571996520,2,0,2,"C2,C10,CJ,CA;S10,SK,S3,S2;C4,C3,SQ,C6;D4,D3,D5,D2;DJ,D7,D6,D8;DK,DQ,D9,HA;CK,C5,H9,C7;H3,H2,H7,HQ;HK,SA,S4,S5;HJ,DA,D10,CQ;H8,C9,SJ,C8;H5,H4,S9,S7;H6,H10,S8,S6"
1571996520,2,2,2,"CA,CJ,C2,CK;S4,S3,S7,S2;HA,C6,C3,C5;HQ,C9,C4,C7;D3,D4,D2,DQ;S5,SQ,HJ,SJ;D6,D9,D5,DA;H8,SA,C8,CQ;D7,H7,H2,H3;S10,D10,D8,HK;S9,DJ,DK,H10;S8,SK,C10,H6;S6,H9,H5,H4"
