1571999021,2,26,1,"C3,CK,C2,CA;SQ,C4,C5,C8;HA,C7,C6,C10;HK,C9,CJ,CQ;D2,D3,D4,D5;D7,D8,D6,D10;H7,DK,D9,DA;S2,S4,S3,SA;H5,H2,H3,H8;SJ,H4,DQ,H9;S9,H6,DJ,H10;S8,SK,S10,HJ;S7,S5,S6,HQ"
1571999021,2,13,1,"CK,CA,C2,CQ;S5,S3,S8,S2;C3,C4,C6,C7;S7,S6,SQ,S4;C8,C5,C9,SA;CJ,SK,C10,H10;D10,D7,D3,D2;DJ,DK,D5,D4;HK,DQ,D8,D6;SJ,S9,H5,S10;H4,HA,H3,H2;H6,H7,DA,H8;HQ,HJ,D9,H9"
1571999021,2,9,1,"C8,CK,C2,CJ;S3,S6,S2,S4;S5,S9,S7,S8;S10,SJ,H10,HQ;C5,C4,CA,C3;SQ,C9,C6,C10;D7,D8,D2,D3;D10,DJ,D5,D4;DA,DK,DQ,D6;SA,SK,H7,HJ;H4,H2,H5,H3;HA,HK,C7,H8;H6,H9,CQ,D9"
1571999021,2,0,1,"C2,C10,CA,CJ;S2,S5,S3,S6;S4,SJ,S7,S9;CQ,C4,C6,C3;CK,C5,C8,C7;D4,DJ,D2,D3;DK,D9,D7,D5;DA,D10,HA,D6;H2,H4,H3,H8;HJ,SQ,H10,D8;H9,SA,C9,DQ;H7,HK,S8,SK;H6,H5,S10,HQ"
1571999021,2,13,1,"CK,C6,C8,C2;S3,S4,S2,S8;S7,S5,SA,S10;C3,SQ,C5,C4;H9,SK,C7,C9;D4,D2,D3,D8;H8,HK,HJ,C10;H4,HQ,H10,CJ;DK,H2,H6,CQ;D9,DA,H3,CA;D7,D10,DQ,H5;D6,S9,DJ,H7;SJ,S6,D5,HA"
1571999021,2,19,1,"C3,CQ,CA,C2;S6,S2,S3,S5;S8,SA,S4,HA;SQ,C4,C10,C5;SK,H10,CJ,C6;HQ,H3,CK,C7;D2,D3,D5,HK;D6,D4,D8,H9;D9,D7,D10,H6;S10,H2,S7,H5;DA,DJ,HJ,H4;H7,DK,SJ,C9;H8,DQ,S9,C8"
1571999021,2,22,1,"CJ,CA,CK,C2;S3,S4,S2,SJ;HJ,C3,C5,C4;S6,S5,S7,HA;S9,HK,S8,H5;S10,HQ,SQ,H4;D6,D3,D7,D2;H10,DK,SK,H3;H9,DQ,SA,H2;H7,C6,C8,C7;H6,C10,C9,DA;D8,D4,H8,D5;DJ,D9,CQ,D10"
1571999021,2,0,1,"CQ,C9,C2,CK;S6,SJ,S2,S4;C3,C5,CA,C4;S7,SQ,S3,S5;D5,D2,DQ,D3;D8,D7,D6,D4;D10,DJ,D9,DK;SK,SA,S9,S8;H10,DA,HA,HK;H6,H2,H3,H4;C8,HQ,C6,H7;C10,H9,C7,H5;CJ,H8,HJ,S10"
1571999021,2,2,1,"CJ,CA,CK,C2;S5,S2,SA,S3;C4,HQ,C3,SK;S10,S4,HK,S6;C5,H9,C6,H6;C8,H7,C7,H5;D2,D3,D6,D8;D4,D5,D7,D9;DA,H4,DK,D10;SQ,S7,H10,H3;H8,SJ,CQ,H2;HJ,S9,C10,DQ;HA,S8,C9,DJ"
1571999021,2,0,1,"CK,C8,CA,C2;S5,S7,S3,S2;S6,S10,S4,SJ;CQ,C4,C5,C3;C10,C6,SK,C9;D2,D4,D3,D8;HQ,C7,H8,CJ;D5,D6,DJ,D9;H10,SA,S8,SQ;H7,H2,H5,H3;D7,HA,DQ,DA;H9,H6,DK,H4;D10,HK,S9,HJ"
1571999021,2,14,1,"C2,C9,CQ,CA;S9,S6,S5,S2;C4,C5,C3,C6;SK,S7,SJ,S3;CK,C7,CJ,C8;D6,D2,D3,D9;H9,S8,SQ,S4;D7,DA,D4,DJ;H4,SA,HJ,S10;H3,H6,H2,H7;DK,HK,H5,C10;DQ,H10,D8,H8;D10,HQ,D5,HA"
1571999021,2,26,1,"CA,CK,C2,C7;S2,S5,S4,S3;S8,S7,SK,S6;C4,C3,C5,C6;S10,SQ,HK,S9;CJ,C10,C8,SA;D9,D3,D2,D4;DK,D6,DJ,D5;H3,HA,H4,H2;HJ,D10,H9,D7;H10,DQ,H6,D8;H5,H8,CQ,DA;H7,HQ,C9,SJ"
