1571995980,3,0,2,"CK,CA,CQ,C2;S4,S2,S6,S3;S7,SA,S9,S5;C6,C5,C3,C10;S8,HQ,SQ,SJ;C7,HJ,C4,HA;CJ,H9,C8,H10;D2,D6,D3,D7;D5,D9,D4,D10;DQ,DK,D8,DA;H7,H3,HK,H2;SK,H5,DJ,H8;S10,H4,C9,H6"
1571995980,3,5,2,"CA,CK,CQ,C2;S3,S4,S2,S5;SQ,S8,S7,S6;C5,C3,C6,C4;D3,D4,D2,DA;C9,C7,SK,C8;D5,SA,D6,D9;D7,HA,D10,DJ;D8,H5,DK,DQ;H2,H4,H6,HQ;HK,S10,H10,S9;HJ,C10,H9,H7;H3,CJ,H8,SJ"
1571995980,3,0,2,"C7,C2,CQ,CA;S3,S2,S4,S9;C6,CJ,C10,C3;D2,D5,D4,D3;D7,D8,D6,SK;D10,DJ,D9,HA;DK,DQ,H8,HQ;S7,SQ,S5,H5;SA,DA,H7,CK;H9,H3,H2,C9;S8,HK,S6,C8;S10,H10,SJ,C5;HJ,H6,H4,C4"
1571995980,3,14,2,"CA,CK,C2,C7;S2,S3,S6,S4;C10,CQ,C4,C3;S7,S5,HQ,SQ;CJ,SA,C6,C5;D3,D2,D4,D5;D8,D7,D6,D9;DJ,HK,DQ,D10;HA,HJ,C8,SK;DA,H6,C9,H10;SJ,H4,H3,H2;S8,S9,H9,H7;S10,H5,H8,DK"
1571995980,3,1,2,"CA,C9,C2,C10;S2,S4,S5,S3;S6,S7,SJ,SK;CK,C5,C4,C3;S9,S8,HA,SA;C6,SQ,CQ,C7;D2,D4,D6,D3;D8,DJ,D9,D5;H5,S10,HQ,H10;DA,H3,H7,H2;D10,HK,DQ,D7;CJ,H6,H8,H4;C8,HJ,H9,DK"
1571995980,3,14,2,"CK,C2,CA,C10;SJ,S2,S4,S3;C3,C8,CJ,C4;SK,S6,S5,S7;C6,CQ,SA,C5;HA,S8,S10,SQ;D3,D2,D8,D6;D5,D4,D9,D7;H4,H8,H2,H6;D10,DJ,HK,H10;DK,DQ,H7,H9;DA,HQ,H5,C9;HJ,S9,H3,C7"
1571995980,3,1,2,"C2,C8,CA,CK;S9,S5,S2,S3;C5,C3,C4,C7;HJ,S8,S4,S6;H8,SJ,S7,H10;D4,D2,D9,D3;H5,HA,S10,H7;C6,HK,C10,CJ;D5,D10,D7,D6;DQ,H3,SQ,H2;DJ,H6,SA,H4;D8,H9,SK,DA;C9,HQ,CQ,DK"
1571995980,3,18,2,"CK,SK,CA,C2;S7,S4,S3,S2;S10,S6,S5,SQ;D4,D5,D3,D2;D7,D6,D8,DJ;DQ,D10,D9,DK;HQ,SJ,S8,SA;C3,HA,C5,C10;C4,HJ,C8,CJ;C6,H6,H10,CQ;H5,H3,H7,H2;C9,H4,S9,HK;C7,DA,H9,H8"
1571995980,3,1,2,"CQ,CJ,CK,C2;S2,S7,S5,S3;C7,C4,C9,C3;S4,SK,S8,S6;HA,C6,C8,C5;D10,D2,D5,D4;SJ,H7,SQ,S9;HK,D3,D6,D8;HJ,H4,SA,S10;H10,D7,DJ,HQ;H9,D9,DQ,H8;H2,DA,H5,CA;H3,DK,H6,C10"
1571995980,3,2,2,"CK,C7,CA,C2;C10,C3,C5,C4;S9,S2,HA,S7;CJ,SA,C6,C9;CQ,H10,C8,HJ;D2,H7,D8,D6;D3,H4,DJ,D7;D4,H2,DK,D9;H8,SJ,H3,H5;D5,S6,HK,D10;SQ,S3,HQ,S8;DQ,S5,H9,DA;SK,S4,H6,S10"
1571995980,3,1,2,"CA,C2,C7,CK;S5,S2,S8,S3;SK,S6,S10,S4;C9,C4,SQ,C3;C10,C8,HK,C5;CJ,CQ,HQ,C6;D3,D2,DK,D6;D5,D4,D8,D7;SA,S7,SJ,S9;D9,D10,H8,DA;H9,H2,H4,H3;DJ,HA,H6,HJ;DQ,H10,H5,H7"
