1571997105,3,0,2,"CK,CA,C9,C2;S3,S4,S7,S2;S5,S6,S8,HQ;S9,SJ,S10,H8;C8,C5,C3,C4;CJ,C7,C6,C10;DA,D3,D6,D2;SQ,SK,SA,H7;HK,D9,D7,D4;HJ,CQ,H4,H3;H2,H6,DQ,DK;H5,H10,DJ,D10;H9,HA,D8,D5"
1571997105,3,16,2,"CJ,CA,CQ,C2;SA,S2,S3,S10;C6,C3,SQ,C7;D3,D2,D10,D6;D4,H6,DJ,DQ;HJ,S5,S4,SK;C9,C4,HA,C8;D5,H3,DA,HK;H5,S7,S6,H10;DK,S9,S8,H9;D9,SJ,HQ,H4;D8,C5,H8,C10;D7,CK,H7,H2"
1571997105,3,0,2,"CK,C2,CA,C4;S8,S6,S2,S3;C5,C6,C7,C3;SA,S7,S10,S4;C10,SQ,C8,HA;CJ,SK,C9,H8;CQ,HK,HJ,H3;D5,D4,D2,D3;D8,D9,D6,D10;DA,HQ,D7,DK;H4,H5,H9,H2;H10,H7,DJ,S9;H6,SJ,DQ,S5"
1571997105,3,1,2,"CK,CQ,C2,C7;S5,S2,S6,SA;SQ,D4,D3,D2;HK,D7,D5,D8;H10,D10,D6,D9;S9,S3,S7,HA;S10,S4,S8,HQ;C3,C4,C5,H8;H6,SK,DA,DJ;H5,H9,SJ,H7;CJ,C6,C9,H4;H2,C10,HJ,DK;H3,C8,CA,DQ"
1571997105,3,3,2,"CA,C10,CK,C2;S2,S4,S3,S5;S10,S7,S6,S8;C3,C6,C7,C9;HQ,SK,S9,SJ;D4,D3,D2,D7;C4,SA,C8,CJ;DJ,D6,D5,D10;C5,HA,H9,SQ;CQ,HJ,H5,HK;H3,H10,H2,H6;H7,D9,D8,DA;H4,DK,DQ,H8"
1571997105,3,5,2,"CK,CQ,CA,C2;S6,S3,S4,S2;S8,S9,S5,S7;HJ,SJ,SQ,S10;C8,C7,C5,C3;C9,SK,C6,C4;D2,D4,D3,D7;H9,HA,H6,SA;H4,H10,C10,CJ;H3,H7,H2,H5;D5,D9,D6,HK;DQ,D10,D8,HQ;DA,DJ,DK,H8"
1571997105,3,1,2,"C2,CA,CK,C6;S5,S4,S2,S3;C3,C4,C5,HA;SQ,S6,S9,S7;C8,C7,C10,H9;SK,C9,CJ,H8;HK,HJ,CQ,H6;D2,D9,D5,D3;D4,DJ,D6,D10;HQ,S10,SA,S8;D8,H10,D7,DA;DK,H4,H2,H3;DQ,SJ,H7,H5"
1571997105,3,8,2,"C2,CA,CJ,CQ;S4,S2,S5,S3;HQ,S7,S6,S8;H9,SJ,S9,S10;CK,C5,C3,C9;D2,D6,D8,D3;H7,C6,C4,SQ;D5,D10,D9,D4;H6,SK,SA,HK;DQ,HA,DJ,D7;H2,H4,DA,H10;H5,H8,C10,DK;H3,C8,C7,HJ"
1571997105,3,5,2,"CQ,CJ,C2,CK;S3,S5,S7,S2;C3,C10,C5,C4;S4,S6,SA,S9;C6,SQ,C9,HJ;C7,SK,CA,H10;D6,D2,D5,D4;D8,D3,D7,DJ;S8,HQ,HA,S10;HK,H7,H9,SJ;H5,H2,DA,H3;C8,DK,DQ,H8;H6,D10,D9,H4"
1571997105,3,14,2,"CQ,SA,C2,C10;S3,S5,S2,SJ;C3,SK,C4,C6;C7,HA,C5,C8;DQ,D2,D5,D3;S7,S6,S4,SQ;D6,D4,DJ,D7;C9,H7,CJ,HK;HQ,H2,CK,H5;HJ,D10,CA,DA;H3,S10,H8,DK;H4,S9,H9,D9;H6,S8,H10,D8"
1571997105,3,0,2,"CA,C9,C2,CQ;S9,S6,S2,S8;C4,C6,SA,C3;H8,S10,S3,HQ;H6,SJ,S4,HJ;D2,D6,DQ,D4;H5,SQ,S5,H2;D3,DK,DJ,D8;D5,DA,SK,D9;D10,H4,H3,CJ;D7,H9,H7,C10;CK,H10,HA,C8;C7,HK,S7,C5"
1571997105,3,0,2,"CK,C2,C9,CQ;S2,S3,S5,S10;C3,C8,C7,C4;SQ,S4,S7,HJ;D2,DA,D4,D3;C5,CA,SA,CJ;D7,D6,D10,D5;HA,DK,D8,D9;HQ,S6,SJ,H8;H2,H9,H5,H3;H7,S8,HK,H4;C10,S9,H10,DQ;C6,SK,H6,DJ"
1571997105,3,13,2,"CK,CA,C2,C10;S3,S2,S6,S8;C3,C5,C4,C6;C9,CQ,C7,C8;S4,S5,S7,SQ;D9,D4,D3,D2;D6,D7,D10,D5;SA,HJ,CJ,SK;H7,D8,DJ,HA;H5,DK,DQ,HK;SJ,H3,H4,H2;S10,H8,DA,H10;S9,H6,HQ,H9"
1571997105,3,0,2,"CA,C2,CJ,CQ;S7,S3,S2,S5;C4,C5,C3,C9;SQ,S8,S4,S6;C7,C10,C6,SK;H7,CK,C8,HA;D2,D6,D3,D5;D8,DQ,D4,D7;D9,DK,DJ,D10;H6,SJ,S10,S9;H4,H8,H3,H2;H5,H9,HJ,H10;DA,HQ,SA,HK"
1571997105,3,2,2,"C2,CA,C9,CK;S4,S3,S2,S7;S9,S10,S5,S8;C5,CQ,C3,C8;D7,D4,D3,D2;C6,SA,C4,C10;SQ,H7,S6,SJ;D8,D5,D9,HK;HA,H6,C7,CJ;H8,H4,H10,H2;D10,D6,DJ,HQ;DK,DQ,DA,H9;HJ,H5,SK,H3"
1571997105,3,18,2,"CK,C9,C10,C2;S8,S2,S5,S3;SJ,S4,S9,HA;C3,C4,C5,C7;C8,HK,C6,CQ;CJ,H4,SQ,CA;D3,D4,D2,D6;D5,D9,D10,D7;D8,DQ,DJ,DK;HJ,H2,H3,H5;DA,S10,SA,H10;SK,S6,HQ,H9;H6,S7,H7,H8"
1571997105,3,9,2,"C7,CA,CQ,C2;S2,S4,SQ,S3;C3,C5,C6,C4;SA,C9,C10,C8;D3,DJ,D2,D8;D4,DA,D5,DK;SJ,S6,HA,S5;D6,HQ,D7,SK;D10,H8,D9,H10;H4,H2,H3,H5;HK,S7,H9,S9;HJ,S10,H6,CJ;H7,S8,DQ,CK"
1571997105,3,20,2,"C8,CJ,C2,CA;S9,S4,S3,S2;SJ,S5,S7,HA;C3,C7,C9,CQ;C4,C10,SQ,CK;D4,D3,D5,D2;DK,D8,D6,D9;SK,S6,S8,HK;C5,SA,H4,H10;C6,HQ,DA,H9;H2,H3,DQ,H7;HJ,H6,D7,D10;H5,S10,DJ,H8"
1571997105,3,0,2,"CQ,C2,CK,CA;S2,S3,S5,S8;S4,S6,S7,S10;C3,C8,C4,C6;S9,SJ,SQ,H9;D4,D3,D6,D2;C5,SA,C7,C9;SK,HJ,CJ,C10;H2,H6,H4,H3;D9,D5,HK,D7;DK,D8,HQ,DQ;DA,D10,H10,H8;HA,DJ,H5,H7"
1571997105,3,15,2,"C2,CA,C6,C10;S3,S8,S2,S6;S10,S9,S4,SQ;C4,C5,C3,C9;DK,D3,D5,D2;DJ,D4,D8,D9;DQ,D6,SK,DA;HQ,HA,S5,SA;H4,D10,H6,H2;H10,D7,S7,HJ;H5,CQ,SJ,H9;CK,C8,H7,H3;CJ,C7,HK,H8"
1571997105,3,3,2,"CJ,CK,C10,C2;S2,S8,S3,S5;S6,S10,S4,S7;C8,C4,C3,C5;C9,C6,HJ,CQ;SK,SQ,H10,S9;D5,D4,D2,D6;D7,D10,D3,DA;SA,HA,H8,SJ;D9,DQ,D8,HK;HQ,C7,H3,CA;H9,H5,H2,H4;DK,H7,DJ,H6"
1571997105,3,18,2,"C2,C8,CA,CK;S3,S6,S2,S5;S8,S7,S4,SQ;C5,C4,C3,C7;D2,DJ,DA,D4;HK,S9,SJ,SK;D3,DQ,HA,D5;H9,S10,H7,SA;D6,HQ,H4,D7;D9,HJ,CJ,D8;DK,H10,C10,D10;CQ,H8,C6,H6;H5,H3,C9,H2"
1571997105,3,2,2,"CQ,C2,CA,C6;S3,S2,S5,S6;SQ,S4,S7,SJ;D5,D4,D2,D7;D8,D6,D3,D10;HA,HJ,S8,SK;C3,C7,SA,C5;DJ,DA,D9,HK;C4,C8,H4,H10;C9,CJ,DK,H9;C10,CK,DQ,H7;H8,H3,S10,H2;HQ,H5,S9,H6"
1571997105,3,15,2,"C2,CA,CJ,CK;S8,S3,SJ,S2;C3,SQ,C5,C7;C4,HK,C8,CQ;DA,D2,D6,D4;C6,HQ,C10,SA;S9,S5,SK,S4;H7,H5,H2,H4;C9,H10,HA,H8;D9,D3,HJ,D5;D10,D7,H9,DJ;S10,DK,H6,S6;DQ,D8,H3,S7"
1571997105,3,4,2,"CQ,C10,CA,C2;S4,S6,S5,S2;S7,S10,S8,S3;CJ,C5,C3,C6;S9,H10,SQ,SJ;D5,D3,D2,DQ;DK,D6,D4,D9;D10,D7,HK,DJ;SA,H4,H8,SK;H3,H2,CK,H5;H7,DA,C9,H6;HJ,D8,C8,H9;HA,C7,C4,HQ"
1571997105,3,18,2,"CK,C7,CQ,C2;S2,S3,S6,S4;HJ,S5,S8,S7;H10,S10,S9,SQ;DA,D6,D2,D3;D7,D10,D9,D4;H2,H4,H3,HA;D8,HK,DK,D5;DQ,HQ,SJ,DJ;C10,H9,SK,CA;C9,H8,SA,C5;C6,H7,CJ,C3;C8,H5,H6,C4"
1571997105,3,0,2,"CA,CK,C2,C4;S3,S2,S8,SJ;C5,C7,C6,C3;S4,S5,SK,SQ;CJ,C8,C10,SA;D5,D2,D3,D4;S6,S10,H10,HJ;HA,C9,CQ,H9;HK,D10,D6,D7;HQ,DQ,D8,DJ;H7,DA,D9,H8;S9,H3,H5,H2;S7,H6,DK,H4"
